,Mean,Std. Dev.,Min,Max,N
unemployment,5.270331694366198,0.7879015777907995,3.9345501,7.0922355,142.0
stringency,19.97042253521127,31.32425031786437,0.0,91.67,142.0
treated,0.5,0.5017699170390649,0.0,1.0,142.0
post,0.30985915492957744,0.46407230103654296,0.0,1.0,142.0
did,0.15492957746478872,0.3631183822729181,0.0,1.0,142.0
